,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
291,manaure,3,CO,1644202706,80,11.7751,-72.4445,77.32,14.0
292,hadsten,21,DK,1644202706,94,56.3282,10.0493,38.53,20.8
293,dosso,0,NE,1644202707,16,13.049,3.1937,65.8,10.6
294,ayan,92,RU,1644202423,60,56.45,138.1667,8.04,5.77
295,xapuri,100,BR,1644202708,99,-10.6517,-68.5044,72.23,3.31
296,penzance,100,GB,1644202708,83,50.1186,-5.5371,49.77,8.93
297,menongue,100,AO,1644202710,97,-14.6585,17.691,59.09,6.11
298,castle rock,5,GB,1644202710,80,52.1376,-0.4548,41.67,12.97
299,nelson bay,100,NZ,1644202710,85,-41.2833,173.2833,60.8,6.46
300,beringovskiy,17,RU,1644202411,94,63.05,179.3167,-13.88,5.17
301,heinola,100,FI,1644202711,97,61.2056,26.0381,32.09,5.26
302,rosarno,64,IT,1644202712,90,38.4841,15.979,56.17,8.66
303,kuminskiy,100,RU,1644202712,89,58.6667,66.5667,6.67,7.29
304,touros,19,BR,1644202712,76,-5.1989,-35.4608,79.7,8.86
305,sorong,100,ID,1644202713,72,-0.8833,131.25,83.64,8.41
306,tazmalt,20,DZ,1644202714,95,36.3868,4.3989,46.53,2.33
307,port moresby,100,CD,1644202587,89,-7.0349,29.7638,69.89,2.35
308,ampanihy,100,MG,1644202714,88,-24.7,44.75,73.6,14.79
309,taltal,2,CL,1644202715,75,-25.4,-70.4833,67.33,4.27
310,gardez,49,AF,1644202715,88,33.5974,69.2259,15.98,3.49
311,charyshskoye,4,RU,1644202716,73,51.3978,83.5598,12.04,5.26
312,grand gaube,2,US,1644202716,44,38.8755,-109.5012,30.6,5.23
313,qui nhon,56,BR,1644202717,94,-10.9706,-37.5959,79.34,3.22
314,phalaborwa,5,ZA,1644202717,84,-23.943,31.1411,69.08,9.53
315,minna,2,NG,1644202717,18,9.6139,6.5569,74.75,9.75
316,bambous virieux,99,MU,1644202718,85,-20.2567,57.4061,76.15,8.63
