,City,Country,Lat,Lng,Hotel Name
366,dunedin,NZ,-45.8742,170.5036,The Law Courts Hotel
367,tiksi,RU,71.6872,128.8694,Arktika
368,puerto ayacucho,ES,36.5939,-6.233,Hotel Puertobahia & Spa
369,cedral,MX,23.8,-100.7333,Hotel Desierto
370,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,Hotel Arsenev
371,tucuma,BR,-0.1833,-50.05,
372,yar-sale,RU,66.8333,70.8333,Yalemd
373,jalu,LY,29.0331,21.5482,إستراحة صلاح الصادق
374,jizan,SA,17.3333,42.6667,
375,yulara,AU,-25.2406,130.9889,Outback Pioneer Hotel & Lodge - Ayers Rock Resort
376,tokur,RU,53.1333,132.9,
377,boende,CD,-0.2167,20.8667,
378,morgaushi,RU,55.9643,46.7743,
379,abha,SA,18.2164,42.5053,Shafa Abha Hotel
380,lazaro cardenas,DO,19.4558,-71.3261,Hotel Marien
381,lensk,RU,60.7253,114.9278,"Gostinitsa ""Lena"""
